postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
2717,200,103,563,37,TRUE
2720,200,636,2820,28,TRUE
2721,200,43,230,15,TRUE
2722,200,371,1689,62,TRUE
2725,200,49,209,21,TRUE
2726,200,46,286,22,TRUE
2727,200,66,293,13,TRUE
2729,200,239,1204,23,TRUE
2730,200,157,681,26,TRUE
2731,200,279,1287,21,TRUE
2732,200,225,1236,51,TRUE
2733,200,126,618,17,TRUE
2734,200,81,383,17,TRUE
2735,200,44,212,21,TRUE
2736,200,36,146,10,TRUE
2737,200,72,302,22,TRUE
2738,200,153,749,29,TRUE
2739,200,85,438,55,TRUE
2745,404,,,,
2747,200,760,3071,58,TRUE
2748,200,147,603,43,TRUE
2749,200,454,1958,57,TRUE
2750,200,736,3136,97,TRUE
2751,404,,,,
2752,200,239,1006,55,TRUE
2753,200,761,3204,40,TRUE
2754,200,242,1036,26,TRUE
2755,200,1,1,1,TRUE
2756,200,1533,6564,141,TRUE
2757,200,55,206,15,TRUE
2758,200,637,2732,106,TRUE
2759,200,491,1827,24,TRUE
2760,200,392,1765,43,TRUE
2761,200,260,892,15,TRUE
2762,200,118,365,16,TRUE
2763,200,305,1070,30,TRUE
2765,200,769,2790,33,TRUE
2766,200,142,604,33,TRUE
2767,200,168,561,28,TRUE
2768,200,217,832,41,TRUE
2769,200,59,168,18,TRUE
2770,200,530,2303,41,TRUE
2773,200,90,394,24,TRUE
2774,200,214,1007,63,TRUE
2775,200,86,365,26,TRUE
2776,200,77,416,30,TRUE
2777,200,295,1393,65,TRUE
2778,200,54,278,27,TRUE
2779,200,70,608,173,TRUE
2780,200,161,976,63,TRUE
2782,200,81,365,32,TRUE
2783,200,59,229,21,TRUE
2784,200,25,105,9,TRUE
2785,404,,,,
2786,200,34,115,10,TRUE
2787,200,556,2346,22,TRUE
2790,200,830,4288,69,TRUE
2791,200,52,283,24,TRUE
2792,200,69,320,39,TRUE
2793,200,167,763,50,TRUE
2794,200,801,3771,77,TRUE
2795,200,2701,13094,103,TRUE
2796,404,,,,
2797,200,85,485,48,TRUE
2798,200,260,1100,46,TRUE
2799,200,386,1659,33,TRUE
2800,200,2514,10504,54,TRUE
2803,200,66,305,26,TRUE
2804,200,307,1416,41,TRUE
2805,200,77,349,25,TRUE
2806,200,109,519,17,TRUE
2807,200,62,284,27,TRUE
2808,200,26,118,11,TRUE
2809,200,37,139,9,TRUE
2810,200,416,2109,47,TRUE
2817,200,15,82,14,TRUE
2818,200,96,456,20,TRUE
2820,404,,,,
2821,200,474,2133,35,TRUE
2822,200,24,91,9,TRUE
2823,200,191,898,34,TRUE
2824,200,352,1640,76,TRUE
2825,200,331,1822,68,TRUE
2826,200,34,214,17,TRUE
2827,200,448,1965,19,TRUE
2828,200,145,652,16,TRUE
2829,200,356,1594,21,TRUE
2830,200,2445,12038,202,TRUE
2831,200,554,2592,45,TRUE
2832,200,293,1595,40,TRUE
2833,200,86,398,14,TRUE
2834,404,,,,
2835,200,560,2886,31,TRUE
2836,200,107,630,23,TRUE
2838,200,21,95,11,TRUE
2839,200,130,644,45,TRUE
2840,404,,,,
2842,200,136,759,52,TRUE
2843,200,215,972,38,TRUE
2844,200,202,915,42,TRUE
2845,200,119,576,27,TRUE
2846,200,56,279,31,TRUE
2847,200,167,739,47,TRUE
2848,200,138,574,22,TRUE
2849,200,309,1530,98,TRUE
2850,200,1986,9307,40,TRUE
2852,200,470,2324,82,TRUE
2864,200,135,651,16,TRUE
2865,200,125,504,17,TRUE
2866,200,393,2004,195,TRUE
2867,200,116,568,17,TRUE
2868,200,106,431,13,TRUE
2869,200,185,869,28,TRUE
2870,200,885,4289,123,TRUE
2871,200,813,3609,38,TRUE
2873,200,155,797,18,TRUE
2874,200,90,437,18,TRUE
2875,200,121,547,18,TRUE
2876,200,99,464,34,TRUE
2877,200,485,2376,31,TRUE
2878,200,85,500,26,TRUE
2879,200,102,521,23,TRUE
2880,200,1182,6970,61,TRUE
2890,404,,,,
2891,404,,,,
2898,200,13,59,12,TRUE
2899,200,1,2,2,TRUE
